Horario, Acontecimento
18-05-2021 17:17:36, Alarme ativado
18-05-2021 17:17:41, bot達o da esp B2 trocou de estado para estado 1
18-05-2021 17:17:42, Alarme foi ativado pela esp ID: B2
18-05-2021 17:17:43, bot達o da esp B2 trocou de estado para estado 0
18-05-2021 17:17:44, bot達o da esp B2 trocou de estado para estado 1
18-05-2021 17:17:45, Alarme foi ativado pela esp ID: B2
18-05-2021 17:17:46, Alarme foi ativado pela esp ID: B2
18-05-2021 17:17:47, Alarme foi ativado pela esp ID: B2
18-05-2021 17:17:48, Alarme foi ativado pela esp ID: B2
18-05-2021 17:17:48, bot達o da esp B2 trocou de estado para estado 0
